Meter,Depth,Type,Date Start,Date End,Latitude,Longitude,CCE,CCE Mag.,CCE Deg.,Mean Mag. Obs. (m/s),Mean Dir. Obs. (deg.),Mean Mag. Mod. (m/s),Mean Dir. Mod. (deg.),Simple Bias (m/s),Complex Bias,RMSE,CRMSE
Sooke,180.52,Non-Tidal,2018-10-13,2018-11-28,48.2897,-123.6538,(-0.03+0.07j),0.07,111.18,0.31,113.67,0.02,95.89,-0.29,(-0.26+0.12j),0.34,0.19
Sooke,180.52,Tidal,2018-10-13,2018-11-28,48.2897,-123.6538,(0.36+0.27j),0.45,36.44,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Sooke,180.31,Total,2018-11-29,2019-01-01,48.2896,-123.6537,(0.84-0.01j),0.84,-0.77,0.13,111.69,0.05,73.83,-0.09,(-0.08+0.06j),0.32,0.3
Sooke,180.31,Non-Tidal,2018-11-29,2019-01-01,48.2896,-123.6537,(0.06-0j),0.06,-5.07,0.13,111.36,0.05,73.85,-0.09,(-0.08+0.06j),0.18,0.15
Sooke,180.31,Tidal,2018-11-29,2019-01-01,48.2896,-123.6537,(0.9-0.02j),0.9,-0.97,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46087,1.6,Total,2016-01-01,2016-07-01,48.493,-124.726,(0.5+0.11j),0.51,11.93,0.15,307.77,0.06,233.69,-0.09,(0.07-0.12j),0.42,0.39
NDBC46087,1.6,Non-Tidal,2016-01-01,2016-07-01,48.493,-124.726,(-0.03+0.31j),0.32,95.68,0.15,307.81,0.06,233.9,-0.09,(0.07-0.12j),0.36,0.33
NDBC46087,1.6,Tidal,2016-01-01,2016-07-01,48.493,-124.726,(0.77+0.11j),0.77,8.47,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46087,1.6,Total,2016-07-01,2016-08-30,48.493,-124.726,(0.5-0.11j),0.51,-12.97,0.14,264.94,0.08,226.72,-0.06,(0.09-0.04j),0.3,0.29
NDBC46087,1.6,Non-Tidal,2016-07-01,2016-08-30,48.493,-124.726,(0.32-0.16j),0.36,-26.53,0.14,264.87,0.08,226.32,-0.06,(0.09-0.04j),0.15,0.11
NDBC46087,1.6,Tidal,2016-07-01,2016-08-30,48.493,-124.726,(0.7-0.15j),0.72,-12.42,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46087,1.6,Total,2016-08-30,2016-10-17,48.493,-124.726,(0.44-0.07j),0.45,-9.3,0.08,286.32,0.03,144.76,-0.05,(0.09-0.04j),0.32,0.3
NDBC46087,1.6,Non-Tidal,2016-08-30,2016-10-17,48.493,-124.726,(0.38-0.1j),0.39,-14.74,0.08,287.4,0.02,146.1,-0.05,(0.09-0.04j),0.23,0.21
NDBC46087,1.6,Tidal,2016-08-30,2016-10-17,48.493,-124.726,(0.66-0.08j),0.67,-6.74,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46087,1.6,Total,2016-11-16,2016-12-17,48.493,-124.726,(0.45+0.08j),0.46,9.68,0.02,95.99,0.01,193.22,-0.01,(-0.02-0.01j),0.4,0.4
NDBC46087,1.6,Non-Tidal,2016-11-16,2016-12-17,48.493,-124.726,(-0.05-0.24j),0.24,-102.44,0.02,88.97,0.01,194.62,-0.01,(-0.03-0.01j),0.31,0.31
NDBC46087,1.6,Tidal,2016-11-16,2016-12-17,48.493,-124.726,(0.7+0.15j),0.71,12.45,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46087,1.6,Total,2017-07-12,2017-08-22,48.493,-124.726,(-0.19-0.01j),0.19,-176.49,0.18,10.11,0.09,222.68,-0.09,(-0.09-0.24j),0.7,0.65
NDBC46087,1.6,Non-Tidal,2017-07-12,2017-08-22,48.493,-124.726,(0.11-0.01j),0.11,-2.84,0.18,10.05,0.09,222.74,-0.09,(-0.09-0.24j),0.47,0.39
NDBC46087,1.6,Tidal,2017-07-12,2017-08-22,48.493,-124.726,(-0.31-0.02j),0.31,-176.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
